"Class","Category","Name","FullPath","SizeMB","LastWrite","IsCanonical"
"LEGACY_PROJECT","RuneforgeCore","system.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\src\modules\chat\skills\system.js","0.001","27/03/2026 07:04:54 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","telemetria.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\src\modules\chat\skills\telemetria.js","0.002","27/03/2026 07:04:54 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","beacon.routes.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\src\modules\beacon\beacon.routes.js","0.001","20/03/2026 12:15:06 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","command-registry.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\src\core\command-registry.js","0.002","27/03/2026 07:04:56 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","env.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\src\config\env.js","0.001","27/03/2026 07:04:56 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","whatsapp.webhook.routes.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\src\adapters\whatsapp\whatsapp.webhook.routes.js","0.001","20/03/2026 12:15:06 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","ai.client.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\src\adapters\ai\ai.client.js","0","20/03/2026 12:15:06 a. m.","True"
"SCRIPTING_ACTIVE_OR_REVIEW","RuneforgeCore","dev.ps1","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\scripts\dev.ps1","0","20/03/2026 12:15:06 a. m.","True"
"SCRIPTING_ACTIVE_OR_REVIEW","RuneforgeCore","start.ps1","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\scripts\start.ps1","0","20/03/2026 12:15:06 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","chat.log","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\data\trace\chat.log","0.003","27/03/2026 01:17:33 a. m.","True"
"AUDIT_OR_TRACE_DATA","RuneforgeCore","runeforge.log","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\data\logs\runeforge.log","0.006","27/03/2026 01:18:46 a. m.","True"
"LAB","RuneforgeCore","padtest_ps2.elf","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\tools\ps2-bios-dumper\padtest_ps2.elf","0.19","22/03/2026 08:02:28 p. m.","True"
