"Status","RelativePath","ActivePath","NestedPath","ActiveSizeMB","NestedSizeMB","ActiveHash","NestedHash"
"SAME_HASH","scripts\dev.ps1","C:\RUNEFOGE_PRO\runeforge\app\scripts\dev.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\app\scripts\dev.ps1","0","0","8949AD0AEE09E38FA623297626BD80B08CD40EBB30ADC8AF16320715D2EB3E4F","8949AD0AEE09E38FA623297626BD80B08CD40EBB30ADC8AF16320715D2EB3E4F"
"SAME_HASH","scripts\start.ps1","C:\RUNEFOGE_PRO\runeforge\app\scripts\start.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\app\scripts\start.ps1","0","0","E5831725AAAF28395BB1D627AB2305C1AACA65775DF24DEB6F81B92B3BC04833","E5831725AAAF28395BB1D627AB2305C1AACA65775DF24DEB6F81B92B3BC04833"
"SAME_HASH","src\adapters\ai\ai.client.js","C:\RUNEFOGE_PRO\runeforge\app\src\adapters\ai\ai.client.js","C:\RUNEFOGE_PRO\runeforge\runeforge\app\src\adapters\ai\ai.client.js","0.0002","0.0002","1D0AC98D221D73E95893B749883D0DB4F5365CCEEBC79B259D89C36A11EC29B2","1D0AC98D221D73E95893B749883D0DB4F5365CCEEBC79B259D89C36A11EC29B2"
"SAME_HASH","src\adapters\whatsapp\whatsapp.webhook.routes.js","C:\RUNEFOGE_PRO\runeforge\app\src\adapters\whatsapp\whatsapp.webhook.routes.js","C:\RUNEFOGE_PRO\runeforge\runeforge\app\src\adapters\whatsapp\whatsapp.webhook.routes.js","0.0008","0.0008","566B96E4C8DC17BC1C1AE43E3E5BA566A3EBADA720B98FD3B0AA7668525805C4","566B96E4C8DC17BC1C1AE43E3E5BA566A3EBADA720B98FD3B0AA7668525805C4"
"SAME_HASH","src\app.js","C:\RUNEFOGE_PRO\runeforge\app\src\app.js","C:\RUNEFOGE_PRO\runeforge\runeforge\app\src\app.js","0.001","0.001","9187C96CBDD0255C9FFCDF3AB9F6AD1B80E348DCF6581D3F3B7F6A58D7DD87C5","9187C96CBDD0255C9FFCDF3AB9F6AD1B80E348DCF6581D3F3B7F6A58D7DD87C5"
"DIFFERENT_HASH","src\config\env.js","C:\RUNEFOGE_PRO\runeforge\app\src\config\env.js","C:\RUNEFOGE_PRO\runeforge\runeforge\app\src\config\env.js","0.0012","0.0012","17E2A3A21A956713468CD147AF17C8C1C576519236A7FE6C959A9F4BE45F3E5A","BB51770747253887874299E16438D093D4866C206785DEA5B1466C8EFB50026F"
"SAME_HASH","src\core\command-registry.js","C:\RUNEFOGE_PRO\runeforge\app\src\core\command-registry.js","C:\RUNEFOGE_PRO\runeforge\runeforge\app\src\core\command-registry.js","0.0017","0.0017","A3171928B3D30CD70D33E127975AA779523644CBACD3A4D2185759C1723A0AFF","A3171928B3D30CD70D33E127975AA779523644CBACD3A4D2185759C1723A0AFF"
"SAME_HASH","src\modules\beacon\beacon.routes.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\beacon\beacon.routes.js","C:\RUNEFOGE_PRO\runeforge\runeforge\app\src\modules\beacon\beacon.routes.js","0.0005","0.0005","7CCC4A1375A0692123151EF33C68BB6FFBA278C67CE2983C7B9A97A251A385D6","7CCC4A1375A0692123151EF33C68BB6FFBA278C67CE2983C7B9A97A251A385D6"
"SAME_HASH","src\modules\chat\chat.routes.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\chat\chat.routes.js","C:\RUNEFOGE_PRO\runeforge\runeforge\app\src\modules\chat\chat.routes.js","0.0005","0.0005","BB9743B628712FEC1CE4FEFA9CEA72F7FC6C3FA3A454B47495E09FAF4B0C1378","BB9743B628712FEC1CE4FEFA9CEA72F7FC6C3FA3A454B47495E09FAF4B0C1378"
"SAME_HASH","src\modules\chat\chat.service.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\chat\chat.service.js","C:\RUNEFOGE_PRO\runeforge\runeforge\app\src\modules\chat\chat.service.js","0.0009","0.0009","5F0645A1E3E9A01C7CEEB6377C3C7F18D605375D444CBE2E3F6B46E127F2C919","5F0645A1E3E9A01C7CEEB6377C3C7F18D605375D444CBE2E3F6B46E127F2C919"
"SAME_HASH","src\modules\chat\chat.trace.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\chat\chat.trace.js","C:\RUNEFOGE_PRO\runeforge\runeforge\app\src\modules\chat\chat.trace.js","0.0003","0.0003","C7BAD09AE9E71ADEC6E84523113EAF6079B0EB7E2BDD72890DDB478F2EC3293B","C7BAD09AE9E71ADEC6E84523113EAF6079B0EB7E2BDD72890DDB478F2EC3293B"
"SAME_HASH","src\modules\chat\skill-router.js","C:\RUNEFOGE_PRO\runeforge\app\src\modules\chat\skill-router.js","C:\RUNEFOGE_PRO\runeforge\runeforge\app\src\modules\chat\skill-router.js","0.0011","0.0011","210850D5118CA4F654E9B30DAB1AF588E61A947B048D21FC945A3F00DB91D8E6","210850D5118CA4F654E9B30DAB1AF588E61A947B048D21FC945A3F00DB91D8E6"
