"IP","MAC","Tipo","Fuente","Estado","AccionSugerida"
"192.168.100.239","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.24","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.240","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.241","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.242","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.243","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.244","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.245","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.246","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.247","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.248","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.249","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.25","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.250","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.251","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.252","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
